29;28;25;27;25;28;27;26;25;24;21;17;16;13;11;9;7;5;24;23;21;20;19;17;16;15;13;12;11;10;9;8;7;6;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
28;25;24;23;24;17;17;9;25;23;17;16;15;16;9;8;7;24;23;22;21;19;18;15;15;14;13;11;11;9;8;7;5;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
25;24;23;23;21;22;15;24;23;22;21;15;16;15;14;7;5;23;22;19;21;20;17;15;14;11;12;9;10;9;5;6;5;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
27;23;23;22;21;21;23;21;21;21;20;13;13;11;9;7;6;3;21;17;20;19;13;14;13;9;11;10;5;8;7;5;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;
25;24;21;21;21;20;15;20;19;20;17;13;12;11;14;5;5;21;20;19;13;18;17;9;12;11;5;9;8;7;5;4;3;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
28;17;22;21;20;15;14;13;22;19;15;14;11;9;13;23;22;11;19;18;9;17;16;13;11;10;9;8;7;5;4;3;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;
27;17;15;23;15;14;9;22;21;11;16;13;9;8;5;7;21;20;19;17;16;15;13;12;11;9;8;7;5;4;3;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;
26;9;24;21;20;13;22;21;20;17;13;12;9;7;21;21;3;19;17;16;15;13;12;11;9;8;7;5;4;3;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
25;25;23;21;19;22;21;20;19;18;13;9;8;5;20;5;17;17;16;15;13;12;11;9;8;7;5;4;3;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;
24;23;22;21;20;19;11;17;18;17;16;9;7;10;7;15;16;15;13;13;12;11;9;8;7;5;4;3;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
21;17;21;20;17;15;16;13;13;16;15;14;5;9;13;14;13;11;12;11;9;9;16;7;5;4;3;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
17;16;15;13;13;14;13;12;9;9;14;13;12;11;12;3;9;10;9;7;8;7;15;5;12;3;9;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
16;15;16;13;12;11;9;9;8;7;5;12;11;10;5;7;8;7;7;6;5;15;14;3;11;9;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;16;15;11;11;9;8;7;5;10;9;11;10;7;5;6;5;19;18;3;15;14;13;11;10;9;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;9;14;9;14;13;5;21;20;7;13;12;5;5;4;3;20;19;17;16;15;13;12;11;9;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;8;7;7;5;23;7;21;5;15;14;3;7;6;3;20;19;18;17;15;14;13;11;10;9;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;7;5;6;5;22;21;3;17;16;13;9;8;5;20;19;18;17;16;15;13;12;11;9;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;24;23;3;21;11;20;19;17;15;11;10;7;19;19;18;17;16;15;14;13;11;10;9;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;23;22;21;20;19;19;17;16;13;12;9;7;18;17;17;16;15;14;13;12;11;9;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;22;19;17;19;18;17;16;15;13;11;7;6;3;16;15;15;14;13;12;11;10;9;7;6;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;21;21;20;13;9;16;15;13;12;9;8;5;15;15;14;13;13;12;11;10;9;8;7;5;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
